categoryId,categoryName,departmentId
043DB8B9-AF9A-41E0-B2F3-7F4C76677C48,Baking Goods,16EA885A-30D0-4128-AD31-0075C8E51C94
2CE9D772-A2EC-4F04-A33D-D1FD35C1A626,Jams and Jellies,16EA885A-30D0-4128-AD31-0075C8E51C94
A47D8A02-EEF0-49D7-8C2B-1A79797D48B5,Bread,00FEBE48-24FB-4630-8977-0ECF05D50FE5
6B8B185D-7C2E-4285-B491-E1C04A1844B8,Breakfast Foods,0ABA0F49-8909-4C3A-8F9F-22FE2ECA4A13
DBAADF3E-698E-45B4-B1EF-DED4EB4F4C3E,Starchy Foods,2213EC33-6AD4-4A72-B4BD-247609A619FD
B99D7960-B7E0-444C-AB7D-6EC9327963F4,Carbonated Beverages,82F0F31A-CD58-4AB4-BEB2-40E18F635D1B
EDAD95C5-E731-4EBC-8B5D-13D75DDF4DEE,Drinks,82F0F31A-CD58-4AB4-BEB2-40E18F635D1B
775CBF66-EDDA-44F1-ADDC-1070E337FBF3,Hot Beverages,82F0F31A-CD58-4AB4-BEB2-40E18F635D1B
35E84940-9539-4FA7-94CB-C164A60279D3,Pure Juice Beverages,82F0F31A-CD58-4AB4-BEB2-40E18F635D1B
FF466C09-367B-4639-AF4F-73BE3E411308,Fruit,4C9454BB-18E6-47BF-B0C6-40FA009C5F6D
98E7F914-434E-456C-BF1F-75666A05DD95,Hardware,FF93E5C8-CD46-4681-A879-422C35FADCE5
189C815A-A855-448B-B274-70C21AE99565,Miscellaneous,FF93E5C8-CD46-4681-A879-422C35FADCE5
3212F463-2CA7-42A5-ACFF-D6831DC4370C,Dairy,35959959-11F9-43F2-A623-5ABCE10ACF39
465C37D3-7E37-45BD-9F4E-E19602E65EEA,Eggs,E8191834-167F-4ABB-BDB8-5C6E7A551E90
2DCD56B7-A7B1-434D-88AA-730AFBB21398,Snack Foods,AF8A1BDF-9490-4ECF-92F2-62EB033B9DBD
A6232D4C-ABD1-49E3-A326-8FD5D8BA25AD,Canned Anchovies,24119708-C406-4690-9B7E-6762863F8E3A
