productId,productName,brandId,subcategoryId,sku,srp
F1C2F4BB-5125-4B14-8C82-000D6211CFB6,Carrington Home Style French Fries,DB2CF2F8-EBFE-449E-A548-C2CCA018DDC5,76628E73-31CE-4BAD-ACAB-18A7C2A11B81,90661347508,0.92
E9532D8B-DB74-415D-A14E-00151CB5A710,Denny Copper Pot Scrubber,A3CE9111-0900-4771-9C8C-59C27C513D1C,69CB345C-0DCC-4E2D-B480-4C7013F8D139,84939283728,1.71
135160DA-3453-49EB-BB0C-0097432C5BA0,Gorilla Strawberry Yogurt,CF1DECC4-1D91-42BB-AAA6-36E4B386B4F3,F6455DE7-9A99-4309-B101-FC5D2C4BB8BD,79842271208,2.16
7AB07896-88A3-4312-8A27-00B3705C94DC,Walrus Imported Beer,62F4AAE2-CD68-4F71-AC94-AE5B78A0EC7D,DF1B6E11-4308-4F48-87F3-F95FDA080454,25103213191,2.62
EB60B2C1-257C-4221-8B71-0130EB5D8F35,Cormorant Toilet Bowl Cleaner,D013669D-1D78-45D5-8FCD-AD2F097409DA,3838B623-1248-434F-BF4F-14E7A574AA73,89919920563,3.81
5A00CCAD-481A-447D-93B3-0170E8A0F373,PigTail Low Fat French Fries,59B40069-1419-4251-8916-2CEE8A8A1BF7,76628E73-31CE-4BAD-ACAB-18A7C2A11B81,75605292916,3.95
1F8D3305-80B7-42CA-9D70-017F358FE1D5,Pleasant Chicken Ramen Soup,B93A92B9-55A1-4494-A716-44B3B474F5BD,8E23E09D-BD90-47A1-8A26-B94881ACC052,62040160298,2.82
C4CF14EE-E4EE-42AF-801B-018D66081D0B,Jumbo Egg Substitute,0C8566F5-C994-4A66-A293-1BB8CA3A849A,24FE483E-F204-449F-8E61-15672E40CAF7,23265127539,2.97
69056E3E-CFBE-4C72-9C90-019E294D34A8,Tell Tale Tangerines,71375A65-E735-4A21-B529-FE77B0FA61D7,3B08908B-4A6C-47AD-B36B-40419C343618,40600405335,1.74
F7F6F1A4-CD06-4038-9AF9-01B89B6D12C3,Cutting Edge Foot-Long Hot Dogs,98F3415C-3282-451A-AC40-B056E01047C2,863BE72A-2E75-4E25-98E2-9FF6F58B352B,10479648709,1.44
A838311A-ABB8-410D-AF15-01CBC86F6EEF,High Top Golden Delcious Apples,A3AECC2D-7850-433F-A784-D1A883BB9BA9,3B08908B-4A6C-47AD-B36B-40419C343618,79614154696,2.91
DD2C0876-BBA2-4F2E-9E2A-01EC6D1EBCE1,Nationeel BBQ Potato Chips,DA5E0D77-0593-4914-A7F4-922AE5A57696,E4401E63-A59A-48D5-BCAA-6130F7C807DF,43737130761,1.37
BDAE9B23-9B45-40F9-ADE0-020245F684F4,Fabulous Mango Drink,CC3A4628-6C19-4240-AB69-720615D5AF81,97AC81E3-51CD-4001-9880-1585386DD1ED,84811106324,2.84
81545457-4ED8-45CE-A50E-0279EE17CE0A,Carrington Fajita French Fries,DB2CF2F8-EBFE-449E-A548-C2CCA018DDC5,76628E73-31CE-4BAD-ACAB-18A7C2A11B81,58852193951,2.22
E6276BC9-B78B-4940-ABDF-02B80CB70517,Fort West Salsa Dip,A59779E9-F610-48B2-A7F6-0B13EDEDC148,3C18DCD1-ED4C-497C-81E2-AD0117C5D777,12498204112,1.93
E2F1423B-16DE-4582-87A3-02C0B89B67D9,CDR Canola Oil,946B9E6E-CBCC-4BE2-8E67-271D74619F8A,32C6A32A-C6C7-4847-8346-2B7566905C9F,86318153738,2.48
F95D9F05-B50B-40DA-A100-03227C15F544,Blue Label Regular Ramen Soup,F488CBA4-54A6-4D84-AB38-1EED2D7813A2,8E23E09D-BD90-47A1-8A26-B94881ACC052,12408414483,1.73
ED63C6A5-A07C-497A-8672-03299489C958,Sunset AA-Size Batteries,45754948-2A4E-4AAB-86EC-C5D95B5B61F2,D11ACEA2-B16C-4BE1-95FD-EE1375276291,84551028609,2.95
126F382C-F58C-4E27-BB95-033D0A92743E,Hermanos Firm Tofu,FAAB8B39-61BE-43F5-987D-BA129F90B315,BF693DDD-AE5E-455A-8AD0-5ACEF39F35B6,74774398207,2.17
163D641E-43C2-4FF2-AEE6-035931625276,High Quality Plastic Spoons,C1432665-5184-43DF-B2CB-2C81D2BAA616,4D91A804-F376-46D1-89CD-91914DF9FAAB,77459064126,1.95
95D720A3-659E-453C-8E67-03A241DA32B0,Washington Cream Soda,9D112C5A-9CB9-41C4-856C-9531CA06765B,E010CB80-A98D-42CC-9449-06E30F371EE0,64412155747,3.64
8758302B-4E28-463D-964F-03A508894E3E,Gauss Monthly Sports Magazine,796A577B-BE76-41F3-BBD0-FF7061B9004B,806DDA38-A1B1-4C98-B6F7-0FBAFF619ADE,83909401297,3.8
697AED59-9550-41A3-8EAE-03A9BD088B1E,Horatio Buttered Popcorn,6CCC4361-D5AD-4FF1-B3EB-637BF4193421,4BB2E4FF-AAFD-48FD-B611-35E6F5457C0B,38565134406,2.35
