cityId,cityName,regionId
4534829C-EDC3-48BB-A558-062582F53D23,Camacho,629D6613-5211-4288-B5D9-0AD6F293873D
002A24DE-FE05-4F5C-A1DA-9C741B21CCF9,Hidalgo,629D6613-5211-4288-B5D9-0AD6F293873D
ADBC6B9A-73BC-465A-9ECB-D612F9C8785B,Mexico City,AA3B219F-930B-4A73-B7E6-29D9B12F662B
0FC0A9C0-5269-4184-ADCF-2C7B6F656391,Albany,B0078384-02C4-4511-8CB9-2A07757CD41A
3DC6630A-A102-406C-8F11-CF4030AA1C04,Beaverton,B0078384-02C4-4511-8CB9-2A07757CD41A
EB3EC243-CE80-44DF-90DA-611D559909DD,Corvallis,B0078384-02C4-4511-8CB9-2A07757CD41A
D841A627-2F10-4C44-9312-E53D64A25AA8,Lake Oswego,B0078384-02C4-4511-8CB9-2A07757CD41A
2122D260-DBC5-458F-9D4B-0214F36EA2F6,Lebanon,B0078384-02C4-4511-8CB9-2A07757CD41A
77E2DDD2-9F01-409F-A5F9-CE9970EF0F3A,Milwaukie,B0078384-02C4-4511-8CB9-2A07757CD41A
95D674C1-DC11-4EEA-8631-76DCBB3035B7,Oregon City,B0078384-02C4-4511-8CB9-2A07757CD41A
6F845D33-BDED-4F01-B6AC-208AD78476E3,Portland,B0078384-02C4-4511-8CB9-2A07757CD41A
CC28B9FD-E783-4D92-8B59-DF3004AF48CF,Salem,B0078384-02C4-4511-8CB9-2A07757CD41A
8E03D29B-98C8-48F8-9343-259D466F7599,W. Linn,B0078384-02C4-4511-8CB9-2A07757CD41A
69123A7D-A12C-404B-90F9-F081F927668E,Woodburn,B0078384-02C4-4511-8CB9-2A07757CD41A
63F1612C-84DE-41E9-96E0-54C7F045689B,Merida,FF454143-CE80-4A05-9220-3EF4173FA8A9
A67B3B60-F018-496E-9AC0-7F753301AF7E,Burnaby,39F7351C-58F3-4DFB-B0C3-52B728030E33
DEA8CFF6-AAF9-492F-9C75-1EEC34B14A08,Cliffside,39F7351C-58F3-4DFB-B0C3-52B728030E33
CD32D95E-E4BB-446F-B546-EB5F84181D20,Haney,39F7351C-58F3-4DFB-B0C3-52B728030E33
3EA47FB7-7E2E-4D40-BF4E-C67D43769EF4,Ladner,39F7351C-58F3-4DFB-B0C3-52B728030E33
ADB03FDF-029C-4DE2-BE85-5C161611E6DE,Langford,39F7351C-58F3-4DFB-B0C3-52B728030E33
B589882F-957C-4A50-A227-B6D23AC3107D,Langley,39F7351C-58F3-4DFB-B0C3-52B728030E33
676B688B-885D-4DBA-A275-5441E1002DCB,Metchosin,39F7351C-58F3-4DFB-B0C3-52B728030E33
043657B4-A765-49DE-8D93-D9B149E8F247,N. Vancouver,39F7351C-58F3-4DFB-B0C3-52B728030E33
E1AD1E3D-F603-4E60-9F0E-2E2C4FC0BD65,Newton,39F7351C-58F3-4DFB-B0C3-52B728030E33
2E3C4D2E-2CD7-4F34-A5E7-D63E6000D321,Oak Bay,39F7351C-58F3-4DFB-B0C3-52B728030E33
6F30935D-00BC-4345-96D5-0E27188B3642,Port Hammond,39F7351C-58F3-4DFB-B0C3-52B728030E33
75C0C7B9-EF8F-4904-B829-9320E82E79D2,Richmond,39F7351C-58F3-4DFB-B0C3-52B728030E33
42612E5A-7739-46AB-AEA7-B7FEE72D2C2A,Royal Oak,39F7351C-58F3-4DFB-B0C3-52B728030E33
4B591FD4-4BD3-40AF-920E-75EEF58FF2E9,Shawnee,39F7351C-58F3-4DFB-B0C3-52B728030E33
59306770-A548-4B72-BB0A-96B238A34418,Sooke,39F7351C-58F3-4DFB-B0C3-52B728030E33
34F3F853-38F3-4EA7-9E13-34E7E420B68C,Vancouver,39F7351C-58F3-4DFB-B0C3-52B728030E33
C6D01884-B912-461E-9F76-CD5FB2D3FF76,Victoria,39F7351C-58F3-4DFB-B0C3-52B728030E33
575C9401-8889-4C6F-B503-F5A8D1DD2C3D,Westminster,39F7351C-58F3-4DFB-B0C3-52B728030E33
48C7C241-6488-4E34-92E8-8FD410EC248D,Mexico City,789F290B-08F4-4249-8AF1-5693A9B0947E
