departmentId,departmentName,familyId
4A472B60-EDF7-4F0F-ABFD-A8F652CE71C0,Carousel,10A2A915-B07B-4C4F-8C7F-64D9851971B7
FF93E5C8-CD46-4681-A879-422C35FADCE5,Checkout,10A2A915-B07B-4C4F-8C7F-64D9851971B7
F1F8D6CC-649A-410F-8FD4-A84F7413BF00,Health and Hygiene,10A2A915-B07B-4C4F-8C7F-64D9851971B7
CC87ABAE-E3A7-4579-B579-981810B3C4A9,Household,10A2A915-B07B-4C4F-8C7F-64D9851971B7
8C97934E-E9D1-4AA8-BA5C-B2F60FAF5034,Periodicals,10A2A915-B07B-4C4F-8C7F-64D9851971B7
AE66DE40-7C56-49C0-AF97-D3213F4E1DAF,Alcoholic Beverages,E74988DC-0B57-429D-9397-C2B91DA65E44
82F0F31A-CD58-4AB4-BEB2-40E18F635D1B,Beverages,E74988DC-0B57-429D-9397-C2B91DA65E44
35959959-11F9-43F2-A623-5ABCE10ACF39,Dairy,E74988DC-0B57-429D-9397-C2B91DA65E44
00FEBE48-24FB-4630-8977-0ECF05D50FE5,Baked Goods,97B695D1-EED8-4E74-AD60-C6F8CB3DF0A8
16EA885A-30D0-4128-AD31-0075C8E51C94,Baking Goods,97B695D1-EED8-4E74-AD60-C6F8CB3DF0A8
0ABA0F49-8909-4C3A-8F9F-22FE2ECA4A13,Breakfast Foods,97B695D1-EED8-4E74-AD60-C6F8CB3DF0A8
24119708-C406-4690-9B7E-6762863F8E3A,Canned Foods,97B695D1-EED8-4E74-AD60-C6F8CB3DF0A8
4C9454BB-18E6-47BF-B0C6-40FA009C5F6D,Canned Products,97B695D1-EED8-4E74-AD60-C6F8CB3DF0A8
04C678F9-C54D-4A3F-9B6A-9FA7E7A104D2,Dairy,97B695D1-EED8-4E74-AD60-C6F8CB3DF0A8
8C7F47BD-7C1A-4EE0-A86E-696553238965,Deli,97B695D1-EED8-4E74-AD60-C6F8CB3DF0A8
E8191834-167F-4ABB-BDB8-5C6E7A551E90,Eggs,97B695D1-EED8-4E74-AD60-C6F8CB3DF0A8
91A8812B-E816-4D48-9BFF-F98B63D37383,Frozen Foods,97B695D1-EED8-4E74-AD60-C6F8CB3DF0A8
BBA8B05F-511D-495A-A8A6-D2B3CEBF49DE,Meat,97B695D1-EED8-4E74-AD60-C6F8CB3DF0A8
39BC7DB2-733D-4C2C-8C1E-7ED9C5723C21,Produce,97B695D1-EED8-4E74-AD60-C6F8CB3DF0A8
83D3845E-834C-4BC9-867F-F815BCB24384,Seafood,97B695D1-EED8-4E74-AD60-C6F8CB3DF0A8
AF8A1BDF-9490-4ECF-92F2-62EB033B9DBD,Snack Foods,97B695D1-EED8-4E74-AD60-C6F8CB3DF0A8
59E7F21E-39E1-452C-B9B6-FCB23CBA7EC6,Snacks,97B695D1-EED8-4E74-AD60-C6F8CB3DF0A8
2213EC33-6AD4-4A72-B4BD-247609A619FD,Starchy Foods,97B695D1-EED8-4E74-AD60-C6F8CB3DF0A8
